state_name,state_abbr,city,name,street,zip,hours,coming_soon
Massachusetts,MA,Millbury,Millbury Coming soon,70 Worcester-Providence Turnpike Suite 710,01527,NA,TRUE
Massachusetts,MA,Peabody,Peabody,"210 Andover Street, Unit N115A",01960,Mon - Fri 10:00am - 10:00pm Sat - Sun 10:00am - 9:00pm,FALSE
Massachusetts,MA,Boston,Post Office Square,225 Franklin St,02210,Mon - Fri 9:30am - 8:00pm,FALSE
Massachusetts,MA,Boston,Prudential Center,800 Boylston St,02199,Mon - Fri 9:30am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
Massachusetts,MA,Boston,Seaport Square,47 Northern Ave,02210,Mon - Fri 9:30am - 10:00pm Sat - Sun 10:30am - 10:00pm,FALSE
Massachusetts,MA,Boston,Summer Street,87 Summer St,02110,Mon - Fri 9:30am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
Massachusetts,MA,Wellesley,Wellesley,180 Linden St,02482,Mon - Fri 9:30am - 10:00pm Sat - Sun 10:30am - 10:00pm,FALSE
Maryland,MD,Bethesda,Bethesda,4831 Bethesda Ave,20814,Mon - Fri 9:30am - 9:00pm Sat - Sun 9:30am - 10:00pm,FALSE
Maryland,MD,College Park,College Park,8300 Baltimore Ave,20740,Mon - Fri 9:30am - 10:00pm Sat - Sun 9:30am - 9:00pm,FALSE
Maryland,MD,Gaithersburg,Gaithersburg,299 Copley Place suite D100,20878,Mon - Sat 9:30am - 10:00pm Sun 9:30am - 9:00pm,FALSE
Maryland,MD,Baltimore,Harbor East,1306 Fleet St,21202,Mon - Sun 9:30am - 10:00pm,FALSE
Maryland,MD,North Bethesda,Pike + Rose,11875 Grand Park Ave,20852,Mon - Fri 9:30am - 9:00pm Sat - Sun 9:30am - 8:00pm,FALSE
Maryland,MD,Silver Spring,Silver Spring,8517 Georgia Ave,20910,Mon 9:30am - 10:00pm Tue 9:00am - 10:00pm Wed - Fri 9:30am - 10:00pm Sat - Sun 9:30am - 9:00pm,FALSE
Maryland,MD,Towson,Towson,1 East Joppa Road space 151,21286,Mon - Thu 9:30am - 8:00pm Fri - Sun 9:30am - 7:00pm,FALSE
Michigan,MI,Ann Arbor,Ann Arbor,311 South State Street,48104,Mon - Sun 10:30am - 10:00pm,FALSE
Michigan,MI,Ann Arbor,Arbor Hills,3070 Washtenaw Avenue suite D107,48104,Mon - Sun 10:00am - 10:00pm,FALSE
Michigan,MI,Birmingham,Birmingham,167 North Old Woodward Avenue,48009,Mon - Sun 10:30am - 9:00pm,FALSE
Michigan,MI,Detroit,Downtown Detroit,1020 Woodward Avenue,48226,Mon - Fri 10:00am - 8:00pm Sat - Sun 11:00am - 8:00pm,FALSE
Michigan,MI,Rochester Hills,Rochester Hills,260 North Adams Road,48309,Mon - Sun 10:00am - 8:00pm,FALSE
Michigan,MI,Shelby Township,Shelby Township,15089 Hall Road,48315,Mon - Fri 10:30am - 9:00pm Sat - Sun 10:30am - 8:00pm,FALSE
