state_abbr,city,street,city_slug,street_slug,url
ID,Idaho Falls,2310 E 17th St,idaho-falls,2310-e-17th-st,https://locations.chipotle.com/id/idaho-falls/2310-e-17th-st
GA,Holly Springs,1120 Heights Pkwy,holly-springs,1120-heights-pkwy,https://locations.chipotle.com/ga/holly-springs/1120-heights-pkwy
TX,Odessa,8009 Hwy 191 Sr Wb,odessa,8009-hwy-191-sr-wb,https://locations.chipotle.com/tx/odessa/8009-hwy-191-sr-wb
IL,Rockford,5521 E State Street,rockford,5521-e-state-street,https://locations.chipotle.com/il/rockford/5521-e-state-street
MI,Southgate,16200 Fort Street,southgate,16200-fort-street,https://locations.chipotle.com/mi/southgate/16200-fort-street
MN,Oakdale,3480 Highpoint Dr N,oakdale,3480-highpoint-dr-n,https://locations.chipotle.com/mn/oakdale/3480-highpoint-dr-n
MN,Alexandria,4409 Highway 29 S,alexandria,4409-highway-29-s,https://locations.chipotle.com/mn/alexandria/4409-highway-29-s
TX,Austin,7112 Ed Bluestein Blvd,austin,7112-ed-bluestein-blvd,https://locations.chipotle.com/tx/austin/7112-ed-bluestein-blvd
FL,Wesley Chapel,34120 Wesley Chapel Blvd,wesley-chapel,34120-wesley-chapel-blvd,https://locations.chipotle.com/fl/wesley-chapel/34120-wesley-chapel-blvd
WI,Oconomowoc,1299 Olympia Fields Drive,oconomowoc,1299-olympia-fields-drive,https://locations.chipotle.com/wi/oconomowoc/1299-olympia-fields-drive
CA,Marysville,1150 N Beale Rd,marysville,1150-n-beale-rd,https://locations.chipotle.com/ca/marysville/1150-n-beale-rd
GA,Norcross,6905 Jimmy Carter Blvd,norcross,6905-jimmy-carter-blvd,https://locations.chipotle.com/ga/norcross/6905-jimmy-carter-blvd
GA,Duluth,4235 Pleasant Hill Rd,duluth,4235-pleasant-hill-rd,https://locations.chipotle.com/ga/duluth/4235-pleasant-hill-rd
MA,North Easton,696 Depot St,north-easton,696-depot-st,https://locations.chipotle.com/ma/north-easton/696-depot-st
VA,Ashburn,42385 Ryan Rd,ashburn,42385-ryan-rd,https://locations.chipotle.com/va/ashburn/42385-ryan-rd
OH,Perrysburg,5200 Brockway Dr,perrysburg,5200-brockway-dr,https://locations.chipotle.com/oh/perrysburg/5200-brockway-dr
FL,Odessa,12382 State Road 54,odessa,12382-state-road-54,https://locations.chipotle.com/fl/odessa/12382-state-road-54
WA,Centralia,1161 Harrison Ave,centralia,1161-harrison-ave,https://locations.chipotle.com/wa/centralia/1161-harrison-ave
PA,Bellefonte,2673 Benner Pike,bellefonte,2673-benner-pike,https://locations.chipotle.com/pa/bellefonte/2673-benner-pike
FL,Wimauma,4914 State Road 674,wimauma,4914-state-road-674,https://locations.chipotle.com/fl/wimauma/4914-state-road-674
CO,Colorado Springs,7351 Central Rail Point,colorado-springs,7351-central-rail-point,https://locations.chipotle.com/co/colorado-springs/7351-central-rail-point
VA,Farmville,2004 S Main St,farmville,2004-s-main-st,https://locations.chipotle.com/va/farmville/2004-s-main-st
CA,Poway,13504 Poway Rd,poway,13504-poway-rd,https://locations.chipotle.com/ca/poway/13504-poway-rd
NC,Fletcher,500 New Airport Road,fletcher,500-new-airport-road,https://locations.chipotle.com/nc/fletcher/500-new-airport-road
TN,Chattanooga,20 Cherokee Blvd,chattanooga,20-cherokee-blvd,https://locations.chipotle.com/tn/chattanooga/20-cherokee-blvd
SC,Spartanburg,1855 E Main St,spartanburg,1855-e-main-st,https://locations.chipotle.com/sc/spartanburg/1855-e-main-st
MI,Detroit,4444 Radnor St,detroit,4444-radnor-st,https://locations.chipotle.com/mi/detroit/4444-radnor-st
NV,Las Vegas,1910 Village Center Cir,las-vegas,1910-village-center-cir,https://locations.chipotle.com/nv/las-vegas/1910-village-center-cir
GA,Warner Robins,781 Georgia Highway 96,warner-robins,781-georgia-highway-96,https://locations.chipotle.com/ga/warner-robins/781-georgia-highway-96
KS,Shawnee,15830 Shawnee Mission Pkwy,shawnee,15830-shawnee-mission-pkwy,https://locations.chipotle.com/ks/shawnee/15830-shawnee-mission-pkwy
AZ,Tucson,7101 E 22nd St,tucson,7101-e-22nd-st,https://locations.chipotle.com/az/tucson/7101-e-22nd-st
KY,Bellevue,52 Donnermeyer Dr,bellevue,52-donnermeyer-dr,https://locations.chipotle.com/ky/bellevue/52-donnermeyer-dr
MO,Cape Girardeau,3265 William St,cape-girardeau,3265-william-st,https://locations.chipotle.com/mo/cape-girardeau/3265-william-st
NE,Columbus,3344 23rd St,columbus,3344-23rd-st,https://locations.chipotle.com/ne/columbus/3344-23rd-st
TX,Katy,5830 Fry Rd,katy,5830-fry-rd,https://locations.chipotle.com/tx/katy/5830-fry-rd
TN,Murfreesboro,230 N Rutherford Blvd,murfreesboro,230-n-rutherford-blvd,https://locations.chipotle.com/tn/murfreesboro/230-n-rutherford-blvd
FL,Pinellas Park,7100 Park Blvd N,pinellas-park,7100-park-blvd-n,https://locations.chipotle.com/fl/pinellas-park/7100-park-blvd-n
TX,Boerne,34674 Ih 10 W,boerne,34674-ih-10-w,https://locations.chipotle.com/tx/boerne/34674-ih-10-w
NC,Shelby,1317 E Dixon Blvd,shelby,1317-e-dixon-blvd,https://locations.chipotle.com/nc/shelby/1317-e-dixon-blvd
IL,Montgomery,1971 Us Route 30,montgomery,1971-us-route-30,https://locations.chipotle.com/il/montgomery/1971-us-route-30
CA,Tulare,2258 E Bardsley Ave,tulare,2258-e-bardsley-ave,https://locations.chipotle.com/ca/tulare/2258-e-bardsley-ave
FL,Saint Johns,480 Durbin Pavilion Dr,saint-johns,480-durbin-pavilion-dr,https://locations.chipotle.com/fl/saint-johns/480-durbin-pavilion-dr
IN,Whitestown,6080 Heartland Dr,whitestown,6080-heartland-dr,https://locations.chipotle.com/in/whitestown/6080-heartland-dr
TX,Dallas,5456 E Mockingbird Ln,dallas,5456-e-mockingbird-ln,https://locations.chipotle.com/tx/dallas/5456-e-mockingbird-ln
FL,Palm Coast,4920 Belle Terre Pkwy,palm-coast,4920-belle-terre-pkwy,https://locations.chipotle.com/fl/palm-coast/4920-belle-terre-pkwy
NY,Ridgewood,60 18 Metropolitan Avenue,ridgewood,60-18-metropolitan-avenue,https://locations.chipotle.com/ny/ridgewood/60-18-metropolitan-avenue
AZ,Phoenix,9820 W Indian School Rd,phoenix,9820-w-indian-school-rd,https://locations.chipotle.com/az/phoenix/9820-w-indian-school-rd
MA,Mashpee,55 South St,mashpee,55-south-st,https://locations.chipotle.com/ma/mashpee/55-south-st
ID,Pocatello,298 E Alameda Rd,pocatello,298-e-alameda-rd,https://locations.chipotle.com/id/pocatello/298-e-alameda-rd
GA,Lawrenceville,3530 Sugarloaf Pkwy,lawrenceville,3530-sugarloaf-pkwy,https://locations.chipotle.com/ga/lawrenceville/3530-sugarloaf-pkwy
TX,Celina,3520 S Preston,celina,3520-s-preston,https://locations.chipotle.com/tx/celina/3520-s-preston
FL,Fort Pierce,2035 S Us Hwy 1,fort-pierce,2035-s-us-hwy-1,https://locations.chipotle.com/fl/fort-pierce/2035-s-us-hwy-1
NY,West Haverstraw,32 S Route 9w,west-haverstraw,32-s-route-9w,https://locations.chipotle.com/ny/west-haverstraw/32-s-route-9w
TX,Midlothian,150 Nicolette Creek Rd,midlothian,150-nicolette-creek-rd,https://locations.chipotle.com/tx/midlothian/150-nicolette-creek-rd
VA,Gainesville,8148 Stonewall Shops Square,gainesville,8148-stonewall-shops-square,https://locations.chipotle.com/va/gainesville/8148-stonewall-shops-square
GA,Roswell,890 Woodstock Rd,roswell,890-woodstock-rd,https://locations.chipotle.com/ga/roswell/890-woodstock-rd
TX,Mission,100 N Shary Road,mission,100-n-shary-road,https://locations.chipotle.com/tx/mission/100-n-shary-road
CA,South San Francisco,190a El Camino Real,south-san-francisco,190a-el-camino-real,https://locations.chipotle.com/ca/south-san-francisco/190a-el-camino-real
AL,Huntsville,400 Governors Dr Sw,huntsville,400-governors-dr-sw,https://locations.chipotle.com/al/huntsville/400-governors-dr-sw
AL,Alabaster,725 1st St S,alabaster,725-1st-st-s,https://locations.chipotle.com/al/alabaster/725-1st-st-s
KY,Richmond,863 Eastern Bypass,richmond,863-eastern-bypass,https://locations.chipotle.com/ky/richmond/863-eastern-bypass
MA,Worcester,105 Stafford St,worcester,105-stafford-st,https://locations.chipotle.com/ma/worcester/105-stafford-st
MN,Minnetonka,1807 Plymouth Road,minnetonka,1807-plymouth-road,https://locations.chipotle.com/mn/minnetonka/1807-plymouth-road
MD,Hampstead,2309 Hanover Pike,hampstead,2309-hanover-pike,https://locations.chipotle.com/md/hampstead/2309-hanover-pike
AR,Bentonville,1701 Se 8th St,bentonville,1701-se-8th-st,https://locations.chipotle.com/ar/bentonville/1701-se-8th-st
KY,Louisville,4910 Us Highway 42,louisville,4910-us-highway-42,https://locations.chipotle.com/ky/louisville/4910-us-highway-42
MN,St. Louis Park,8528 State Hwy 7,st.-louis-park,8528-state-hwy-7,https://locations.chipotle.com/mn/st.-louis-park/8528-state-hwy-7
NC,Charlotte,13855 Conlan Cir,charlotte,13855-conlan-cir,https://locations.chipotle.com/nc/charlotte/13855-conlan-cir
CO,Fountain,6250 Timber Rail Pt,fountain,6250-timber-rail-pt,https://locations.chipotle.com/co/fountain/6250-timber-rail-pt
SC,Summerville,1275 Nexton Pkwy,summerville,1275-nexton-pkwy,https://locations.chipotle.com/sc/summerville/1275-nexton-pkwy
FL,St. Cloud,2000 Nolte Road,st.-cloud,2000-nolte-road,https://locations.chipotle.com/fl/st.-cloud/2000-nolte-road
